cuda:0
./result/train/weight
RF model created
SR_LR_Data: ['../testdb/lr/'], 22
SR_HR_Data: ['../testdb/hr/'], 22
Data loading completed
../testResult/SingleX2_RCAN/024.png 21.635532588510603 0.6052188277244568
../testResult/SingleX2_RCAN/027.png 22.542722970950585 0.6588045954704285
../testResult/SingleX2_RCAN/028.png 21.899165023438485 0.6131638288497925
../testResult/SingleX2_RCAN/1071.png 20.51718114337867 0.6182249784469604
../testResult/SingleX2_RCAN/1078.png 21.56361464262691 0.6057918667793274
../testResult/SingleX2_RCAN/145.png 22.707314401236253 0.48848193883895874
../testResult/SingleX2_RCAN/2182.png 22.189487054681138 0.6778019070625305
../testResult/SingleX2_RCAN/2187.png 22.744648310342413 0.8099587559700012
../testResult/SingleX2_RCAN/281.png 22.204884271908597 0.689450740814209
../testResult/SingleX2_RCAN/286.png 20.603736401388076 0.6611035466194153
../testResult/SingleX2_RCAN/355.png 20.368627008144188 0.563261091709137
../testResult/SingleX2_RCAN/4102.png 14.413882671558781 0.2454500049352646
../testResult/SingleX2_RCAN/4109.png 18.17970335983801 0.36971643567085266
../testResult/SingleX2_RCAN/4335.png 20.913470231764446 0.6544528603553772
../testResult/SingleX2_RCAN/4339.png 23.691223835312808 0.7653080224990845
../testResult/SingleX2_RCAN/5033.png 25.306543702627305 0.8451278209686279
../testResult/SingleX2_RCAN/5061.png 25.222587299914593 0.9510774612426758
../testResult/SingleX2_RCAN/582.png 24.624323098919575 0.6839125752449036
../testResult/SingleX2_RCAN/9005.png 20.745922857316074 0.583392322063446
../testResult/SingleX2_RCAN/9008.png 16.883827600547143 0.5198589563369751
../testResult/SingleX2_RCAN/930.png 22.625285310707604 0.7798106074333191
../testResult/SingleX2_RCAN/932.png 22.327450795588124 0.6968616247177124
